fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-02,50318,2026-04-30,BARRIO SAN JOSE ACHI,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOLÍVAR,ACHÍ,REDEBAN,0.6402415524528913,0.9935524304953599,Crítico,Crítico,Recuperación prioritaria,916,907,0,0,7398252.357146559,11555408.0,149.0,207.0,2.7189195294117647,2.7189195294117647,100.0,"149 días sin compensar | 207 días sin transacciones | consumo cupo 272% | saldo expuesto $11,555,408 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,25181,2026-04-30,CENTRO SAN PABLO - BOLIVAR,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOLÍVAR,SAN PABLO,REDEBAN,0.25679584079047996,0.9633369383647054,Crítico,Crítico,Recuperación prioritaria,917,908,0,0,7387831.271915567,28769279.32,2519.0,999.0,0.9589759773333334,0.9589759773333334,100.0,"2519 días sin compensar | 999 días sin transacciones | consumo cupo 96% | saldo expuesto $28,769,279 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,18398,2026-04-30,BARRIO CENTRO XXII - MONTERIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CÓRDOBA,MONTERÍA,REDEBAN,0.5576379574206115,0.990672666330039,Crítico,Crítico,Recuperación prioritaria,918,909,0,0,7380050.753532494,13234484.23,2950.0,999.0,0.8822989486666667,0.8822989486666667,100.0,"2950 días sin compensar | 999 días sin transacciones | consumo cupo 88% | saldo expuesto $13,234,484 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,12634,2026-04-30,BARRIO CAMPESTRE - CARTAGENA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOLÍVAR,CARTAGENA DE INDIAS,REDEBAN,0.4919124426553033,0.9876368163146954,Crítico,Crítico,Recuperación prioritaria,919,910,0,0,7378172.591326975,14998955.0,3518.0,999.0,0.9999303333333334,0.9999303333333334,100.0,"3518 días sin compensar | 999 días sin transacciones | consumo cupo 100% | saldo expuesto $14,998,955 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,18162,2026-04-30,BARRIO OLAYA HERRERA SEC 11 DE NOVIEMBRE CARTAGENA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOLÍVAR,CARTAGENA DE INDIAS,REDEBAN,0.4919124426553033,0.9876368163146954,Crítico,Crítico,Recuperación prioritaria,920,911,0,0,7376214.268216267,14994973.96,3602.0,999.0,0.9996649306666667,0.9996649306666667,100.0,"3602 días sin compensar | 999 días sin transacciones | consumo cupo 100% | saldo expuesto $14,994,974 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,66225,2026-04-30,BARRIO SAN MARTIN VALLEDUPAR 6,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CESAR,VALLEDUPAR,REDEBAN,0.49736792776544464,0.9879211348676983,Crítico,Crítico,Recuperación prioritaria,921,912,0,0,7369834.319580124,14817671.0,595.0,576.0,0.9878447333333333,0.9878447333333333,100.0,"595 días sin compensar | 576 días sin transacciones | consumo cupo 99% | saldo expuesto $14,817,671 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,43549,2026-04-30,BARRIO CANTA CLARO MONTERIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CÓRDOBA,MONTERÍA,REDEBAN,0.4929762537153647,0.9876927777126379,Crítico,Crítico,Recuperación prioritaria,922,913,0,0,7367217.9148444105,14944366.71,75.0,337.0,1.494436671,1.494436671,100.0,"75 días sin compensar | 337 días sin transacciones | consumo cupo 149% | saldo expuesto $14,944,367 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,53221,2026-04-30,BARRIO RESTREPO IBAGUE 2,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,TOLIMA,IBAGUÉ,REDEBAN,0.4954139635487207,0.9878200592616972,Crítico,Crítico,Recuperación prioritaria,923,914,0,0,7367069.198198085,14870532.0,1135.0,1158.0,1.4870532,1.4870532,100.0,"1135 días sin compensar | 1158 días sin transacciones | consumo cupo 149% | saldo expuesto $14,870,532 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,19855,2026-04-30,MASTERGROUP PEDREGAL,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,MEDELLÍN,REDEBAN,0.38263632474252673,0.9801448809528874,Crítico,Crítico,Recuperación prioritaria,924,915,0,0,7364245.574717392,19246070.22,3810.0,999.0,0.641535674,0.641535674,100.0,"3810 días sin compensar | 999 días sin transacciones | saldo expuesto $19,246,070 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,36871,2026-04-30,BARRIO FUNZA CUNDINAMARCA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,FUNZA,REDEBAN,0.4219768986464906,0.9833067633612971,Crítico,Crítico,Recuperación prioritaria,925,916,0,0,7363871.596867259,17450888.0,1225.0,999.0,1.1633925333333333,1.1633925333333333,100.0,"1225 días sin compensar | 999 días sin transacciones | consumo cupo 116% | saldo expuesto $17,450,888 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,27801,2026-04-30,BARRIO ARACATACA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,MAGDALENA,ARACATACA,REDEBAN,0.3691072815429655,0.9788966516727571,Crítico,Crítico,Recuperación prioritaria,926,917,0,0,7351426.308245615,19916774.0,898.0,921.0,0.9958387,0.9958387,100.0,"898 días sin compensar | 921 días sin transacciones | consumo cupo 100% | saldo expuesto $19,916,774 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,62537,2026-04-30,BARRIO FONTIBON BAHIA SOLANO BOGOTA 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.477032142492671,0.9868265239609061,Crítico,Crítico,Recuperación prioritaria,927,918,0,0,7347611.603100413,15402760.0,1129.0,1113.0,1.540276,1.540276,100.0,"1129 días sin compensar | 1113 días sin transacciones | consumo cupo 154% | saldo expuesto $15,402,760 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,12731,2026-04-30,BARRIO CENTRO - PUERTO INIRIDA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,GUAINÍA,INÍRIDA,REDEBAN,0.34979360857683955,0.9769427991730147,Crítico,Crítico,Recuperación prioritaria,928,919,0,0,7336560.362153681,20973969.17,2972.0,999.0,0.4660882037777778,0.4660882037777778,100.0,"2972 días sin compensar | 999 días sin transacciones | saldo expuesto $20,973,969 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,40082,2026-04-30,BARRIO PARQUE BOLIVAR POTOSI,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,NARIÑO,POTOSÍ,REDEBAN,0.3529003837899326,0.9772718811361123,Crítico,Crítico,Recuperación prioritaria,929,920,0,0,7335130.113077756,20785271.0,1081.0,1089.0,0.9237898222222222,0.9237898222222222,100.0,"1081 días sin compensar | 1089 días sin transacciones | consumo cupo 92% | saldo expuesto $20,785,271 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-02,19137,2026-04-30,BARRIO ROBLEDO VILLA SOFIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,MEDELLÍN,REDEBAN,0.48903472620202715,0.9874841517469223,Crítico,Crítico,Recuperación prioritaria,930,921,0,0,7335006.604550944,14998948.36,3357.0,999.0,0.9999298906666666,0.9999298906666666,100.0,"3357 días sin compensar | 999 días sin transacciones | consumo cupo 100% | saldo expuesto $14,998,948 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
