fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-02,42293,2026-04-30,BARRIO BARZAL BAJO VILLAVICENCIO,ACTIVO,ACTIVO,PREVENTIVO,META,VILLAVICENCIO,WOMPI,0.030325917563001573,0.6628588453655213,Medio,Bajo,Crítico,5787,280,1,0,380968.39928176283,12562469.0,3.0,1.0,0.8374979333333333,0.8374979333333333,25.0,"consumo cupo 84% | saldo expuesto $12,562,469",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,78532,2026-04-30,BARRIO CRR EL ROSARIO LA CRUZ,ACTIVO,ACTIVO,PREVENTIVO,NARIÑO,LA CRUZ,REDEBAN,0.03804977110133298,0.7169855534129627,Medio,Bajo,Crítico,5790,281,1,0,380459.66124222847,9999000.0,3.0,1.0,0.9999,0.9999,35.0,"consumo cupo 100% | saldo expuesto $9,999,000",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,69885,2026-04-30,BARRIO CIUDADELA METROPOLITANA,ACTIVO,ACTIVO,PREVENTIVO,ATLÁNTICO,SOLEDAD,REDEBAN Y CREDIBANCO,0.03926032408291212,0.7240652713886618,Medio,Bajo,Crítico,5791,282,1,0,378983.28476022184,9653086.0,17.0,1.0,0.9653086,0.9653086,35.0,"consumo cupo 97% | saldo expuesto $9,653,086",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,79145,2026-04-30,BARRIO EL CENTRO SUAZA,ACTIVO,ACTIVO,PREVENTIVO,HUILA,SUAZA,REDEBAN,0.04120066168874155,0.7347700499862625,Medio,Bajo,Crítico,5792,283,1,0,378557.28288614703,9188136.0,16.0,0.0,0.9188136,0.9188136,35.0,"consumo cupo 92% | saldo expuesto $9,188,136",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,17385,2026-04-30,BARRIO AMBALA II IBAGUE,ACTIVO,ACTIVO,PREVENTIVO,TOLIMA,IBAGUÉ,REDEBAN,0.013525016840061604,0.44672639353127575,Bajo,Bajo,Crítico,5795,284,1,0,378089.91168651404,27954857.0,0.0,0.0,0.99838775,0.99838775,35.0,"consumo cupo 100% | saldo expuesto $27,954,857",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,72932,2026-04-30,BELEN ROSALES MEDELLIN 2,ACTIVO,ACTIVO,PREVENTIVO,ANTIOQUIA,MEDELLÍN,WOMPI,0.047456979302075916,0.7646949024084322,Medio,Bajo,Crítico,5796,285,1,0,377943.72992346593,7963923.02,24.0,1.0,0.9954903774999999,0.9954903774999999,35.0,"consumo cupo 100% | saldo expuesto $7,963,923",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,68960,2026-04-30,BARRIO LA SIERRA BARRANQUILLA,ACTIVO,ACTIVO,PREVENTIVO,ATLÁNTICO,BARRANQUILLA,WOMPI,0.020768506418072853,0.5638792072770176,Bajo,Bajo,Crítico,5797,286,1,0,374042.48283851193,18010081.0,10.0,1.0,0.6210372758620689,0.6210372758620689,10.0,"saldo expuesto $18,010,081",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,41899,2026-04-30,BARRIO SECTOR EL CARMEN HATILLO DE LOBA,ACTIVO,ACTIVO,PREVENTIVO,BOLÍVAR,HATILLO DE LOBA,REDEBAN,0.016799440211410464,0.5059150792666854,Bajo,Bajo,Crítico,5798,287,1,0,373752.7821262366,22247930.73,7.0,0.0,0.9887969213333333,0.9887969213333333,35.0,"consumo cupo 99% | saldo expuesto $22,247,931",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,46169,2026-04-30,BARRIO CACHIPAY CACHIPAY,ACTIVO,ACTIVO,PREVENTIVO,CUNDINAMARCA,CACHIPAY,REDEBAN,0.017882734614682573,0.5230565627074792,Bajo,Bajo,Crítico,5799,288,1,0,373625.2797441899,20893073.0,3.0,0.0,0.9949082380952381,0.9949082380952381,35.0,"consumo cupo 99% | saldo expuesto $20,893,073",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-02,69231,2026-04-30,BARRIO SAN MARTIN CUCUTA 3,ACTIVO,ACTIVO,PREVENTIVO,NORTE DE SANTANDER,CÚCUTA,REDEBAN,0.011700714419802315,0.4079927188071049,Bajo,Alto,Crítico,5800,289,1,0,372840.8429391159,31864793.0,30.0,0.0,0.99577478125,0.99577478125,65.0,"30 días sin compensar | consumo cupo 100% | saldo expuesto $31,864,793",Contacto el mismo día + seguimiento de compensación,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
