fecha_scoring,codigo_punto,fecha_corte,nombre_punto,estado_actual,estado_actual_norm,segmento_operativo,departamento,municipio,red_cb,probabilidad_riesgo_90d,probabilidad_riesgo_90d_raw,nivel_modelo,nivel_riesgo_reglas,nivel_alerta_final,ranking_global,ranking_segmento,flag_top500_preventivo,flag_nuevo_top500_preventivo,perdida_esperada_modelo,saldo_expuesto,dias_sin_compensar,dias_sin_transacciones,consumo_cupo_punto,consumo_cupo_visual,score_riesgo_reglas,motivo_alerta,accion_recomendada,accion_final_produccion
2026-05-11,66299,2026-04-30,BARRIO CENTRO SANTA MARTA 25,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,MAGDALENA,SANTA MARTA,REDEBAN,0.43500582332389875,0.9842236283218853,Crítico,Crítico,Recuperación prioritaria,4716,4687,0,0,1885725.883782995,4334944.0,15.0,100.0,0.8669888,0.8669888,90.0,"100 días sin transacciones | consumo cupo 87% | saldo expuesto $4,334,944 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,31701,2026-04-30,BARRIO SAN BERNANDINO  SOACHA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,SOACHA,REDEBAN,0.4657423196873261,0.9861754712859709,Crítico,Crítico,Recuperación prioritaria,4717,4688,0,0,1880977.205540015,4038665.0,54.0,423.0,0.2692443333333333,0.2692443333333333,100.0,"54 días sin compensar | 423 días sin transacciones | saldo expuesto $4,038,665 | mora operativa Mayor a 60 | aparece en castigados: Confidencial",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,72635,2026-04-30,	CORREGIMIENTO PALO ALTO CALLE EL PUERTO,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,SUCRE,SAN ONOFRE,REDEBAN,0.3724066458281778,0.9792096566742556,Crítico,Crítico,Recuperación prioritaria,4718,4689,0,0,1880384.6838340098,5049278.0,555.0,534.0,0.9526939622641509,0.9526939622641509,100.0,"555 días sin compensar | 534 días sin transacciones | consumo cupo 95% | saldo expuesto $5,049,278 | mora operativa Mayor a 60 | aparece en castigados: Malas prácticas",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,35311,2026-04-30,BARRIO ALAMEDA VILLAMARIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CALDAS,VILLAMARÍA,WOMPI,0.21627235583389387,0.9537344983477927,Crítico,Crítico,Recuperación prioritaria,4719,4690,0,0,1880159.7741460153,8693481.73,30.0,79.0,1.2419259614285716,1.2419259614285716,100.0,"30 días sin compensar | 79 días sin transacciones | consumo cupo 124% | saldo expuesto $8,693,482 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,50613,2026-04-30,BARRIO LA FLORESTA DUITAMA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOYACÁ,DUITAMA,REDEBAN,0.31070716386258734,0.9722282110057413,Crítico,Crítico,Recuperación prioritaria,4720,4691,0,0,1879849.1826020142,6050228.0,583.0,551.0,1.2100456,1.2100456,100.0,"583 días sin compensar | 551 días sin transacciones | consumo cupo 121% | saldo expuesto $6,050,228 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,74435,2026-04-30,BARRIO KENNEDY CENTRAL BOGOTA 13,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.35199753000498196,0.9771768598282796,Crítico,Crítico,Recuperación prioritaria,4721,4692,0,0,1878754.0806313008,5337407.0,263.0,341.0,0.9531083928571429,0.9531083928571429,100.0,"263 días sin compensar | 341 días sin transacciones | consumo cupo 95% | saldo expuesto $5,337,407 | mora operativa Mayor a 60 | aparece en castigados: Seguridad y Riesgos",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,70441,2026-04-30,CALLE VIEJA BELLO 3,ACTIVO,ACTIVO,PREVENTIVO,ANTIOQUIA,BELLO,WOMPI,0.0822706790397536,0.8596701513839505,Alto,Bajo,Crítico,4722,30,1,0,1878151.408309644,22828928.0,10.0,0.0,0.9925620869565217,0.9925620869565217,35.0,"consumo cupo 99% | saldo expuesto $22,828,928",Seguimiento normal,"Gestión preventiva inmediata: validar saldo, contactar CB y evaluar bloqueo preventivo."
2026-05-11,52022,2026-04-30,BARRIO MORRORICO BUCARAMANGA 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,SANTANDER,BUCARAMANGA,REDEBAN,0.4705641676697669,0.9864575369164696,Crítico,Crítico,Recuperación prioritaria,4723,4693,0,0,1877778.3114953544,3990483.0,65.0,587.0,0.3990483,0.3990483,100.0,"65 días sin compensar | 587 días sin transacciones | saldo expuesto $3,990,483 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,71931,2026-04-30,BARRIO CENTRO ARMENIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,QUINDÍO,ARMENIA,REDEBAN,0.23626125092780306,0.958880098880745,Crítico,Crítico,Recuperación prioritaria,4724,4694,0,0,1877736.1428726607,7947711.0,373.0,363.0,1.98692775,1.98692775,100.0,"373 días sin compensar | 363 días sin transacciones | consumo cupo 199% | saldo expuesto $7,947,711 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,60078,2026-04-30,BARRIO CENTRO LORICA 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CÓRDOBA,LORICA,REDEBAN,0.4245352726807585,0.983491411868862,Crítico,Crítico,Recuperación prioritaria,4725,4695,0,0,1872481.5948726598,4410662.0,850.0,872.0,0.4410662,0.4410662,100.0,"850 días sin compensar | 872 días sin transacciones | saldo expuesto $4,410,662 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,76694,2026-04-30,BARRIO PRADO CAMPESTRE MEDELLIN 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,MEDELLÍN,WOMPI,0.2696013070320825,0.9657728159902623,Crítico,Crítico,Recuperación prioritaria,4726,4696,0,0,1870332.0400040424,6937399.75,200.0,94.0,0.9910571071428571,0.9910571071428571,100.0,"200 días sin compensar | 94 días sin transacciones | consumo cupo 99% | saldo expuesto $6,937,400 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,14639,2026-04-30,BARRIO CENTRO VII BARRANQUILLA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ATLÁNTICO,BARRANQUILLA,REDEBAN,0.40398439764504857,0.9819396329170639,Crítico,Crítico,Recuperación prioritaria,4727,4697,0,0,1870129.700140465,4629212.69,4048.0,999.0,0.925842538,0.925842538,100.0,"4048 días sin compensar | 999 días sin transacciones | consumo cupo 93% | saldo expuesto $4,629,213 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,18920,2026-04-30,MASTERGROUP MINORISTA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,MEDELLÍN,REDEBAN,0.330124624377353,0.9747124310564844,Crítico,Crítico,Recuperación prioritaria,4728,4698,0,0,1869686.9890438518,5663579.3,3859.0,999.0,0.3775719533333333,0.3775719533333333,100.0,"3859 días sin compensar | 999 días sin transacciones | saldo expuesto $5,663,579 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,81824,2026-04-30,BARRIO VERGEL CALI,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,CALI,WOMPI,0.26748778897397013,0.9653868850556139,Crítico,Crítico,Recuperación prioritaria,4729,4699,0,0,1869301.499929712,6988362.0,192.0,107.0,0.9983374285714286,0.9983374285714286,100.0,"192 días sin compensar | 107 días sin transacciones | consumo cupo 100% | saldo expuesto $6,988,362 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,62084,2026-04-30,BARRIO GUSTAVO JIMENEZ SOGAMOSO 2,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,BOYACÁ,SOGAMOSO,REDEBAN,0.34336895846237403,0.9762429544146518,Crítico,Crítico,Recuperación prioritaria,4730,4700,0,0,1867641.451061874,5439168.0,411.0,602.0,1.0878336,1.0878336,100.0,"411 días sin compensar | 602 días sin transacciones | consumo cupo 109% | saldo expuesto $5,439,168 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,26206,2026-04-30,BARRIO PIO XXII BOGOTA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.4465242605267106,0.9849879122954415,Crítico,Crítico,Recuperación prioritaria,4731,4701,0,0,1863621.2892991346,4173617.1,1437.0,999.0,0.41736171,0.41736171,100.0,"1437 días sin compensar | 999 días sin transacciones | saldo expuesto $4,173,617 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,14411,2026-04-30,BARRIO EL POBLADO II CALI,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,CALI,REDEBAN,0.36739304532980815,0.9787317459395003,Crítico,Crítico,Recuperación prioritaria,4732,4702,0,0,1863268.9301216728,5071595.54,3239.0,999.0,0.9944304980392157,0.9944304980392157,100.0,"3239 días sin compensar | 999 días sin transacciones | consumo cupo 99% | saldo expuesto $5,071,596 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,43171,2026-04-30,BARRIO RABO LARGO CERETE,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CÓRDOBA,CERETÉ,REDEBAN,0.39281814471920923,0.9810259765512274,Crítico,Crítico,Recuperación prioritaria,4733,4703,0,0,1862835.954522499,4742235.0,768.0,741.0,0.632298,0.632298,100.0,"768 días sin compensar | 741 días sin transacciones | saldo expuesto $4,742,235 | mora operativa Mayor a 60 | aparece en castigados: Otro",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,76227,2026-04-30,BARRIO DIAMANTE CALI 1,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,CALI,REDEBAN Y CREDIBANCO,0.27102993137721365,0.9660302629953222,Crítico,Crítico,Recuperación prioritaria,4734,4704,0,0,1861130.828265355,6866883.0,292.0,250.0,0.9809832857142857,0.9809832857142857,100.0,"292 días sin compensar | 250 días sin transacciones | consumo cupo 98% | saldo expuesto $6,866,883 | mora operativa Mayor a 60 | aparece en castigados: Asuntos Personales",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,79050,2026-04-30,BARRIO MANZANARES CALI,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,CALI,WOMPI,0.26745979154094096,0.9653817316225624,Crítico,Crítico,Recuperación prioritaria,4735,4705,0,0,1855263.1920870424,6936605.99,205.0,160.0,0.9909437128571429,0.9909437128571429,100.0,"205 días sin compensar | 160 días sin transacciones | consumo cupo 99% | saldo expuesto $6,936,606 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,52906,2026-04-30,BARRIO LAURIANO GOMEZ CALI,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,VALLE DEL CAUCA,CALI,REDEBAN,0.3236436534414299,0.9739169555107923,Crítico,Crítico,Recuperación prioritaria,4736,4706,0,0,1854159.6656279706,5729015.99,59.0,298.0,0.7161269987500001,0.7161269987500001,100.0,"59 días sin compensar | 298 días sin transacciones | consumo cupo 72% | saldo expuesto $5,729,016 | mora operativa Mayor a 60 | aparece en castigados: Confidencial",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,37455,2026-04-30,BARRIO CENTRO MEDELLIN 21,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,ANTIOQUIA,MEDELLÍN,REDEBAN,0.4653171286893148,0.9861503051420015,Crítico,Crítico,Recuperación prioritaria,4737,4707,0,0,1851108.766609943,3978165.97,1920.0,999.0,0.397816597,0.397816597,100.0,"1920 días sin compensar | 999 días sin transacciones | saldo expuesto $3,978,166 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,66424,2026-04-30,BARRIO MOTILONES CUCUTA 18,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,NORTE DE SANTANDER,CÚCUTA,REDEBAN,0.33966442022778576,0.97582711879226,Crítico,Crítico,Recuperación prioritaria,4738,4708,0,0,1850848.409042216,5449050.0,382.0,341.0,1.08981,1.08981,100.0,"382 días sin compensar | 341 días sin transacciones | consumo cupo 109% | saldo expuesto $5,449,050 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,16257,2026-04-30,BARRIO EL AMPARO III BOGOTA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CUNDINAMARCA,BOGOTÁ,REDEBAN,0.45861248611971794,0.9857470174801696,Crítico,Crítico,Recuperación prioritaria,4739,4709,0,0,1850813.2379836233,4035680.0,3541.0,999.0,0.807136,0.807136,100.0,"3541 días sin compensar | 999 días sin transacciones | consumo cupo 81% | saldo expuesto $4,035,680 | mora operativa Mayor a 60",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,64757,2026-04-30,BARRIO TORASSO BAJO FLORENCIA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CAQUETÁ,FLORENCIA,REDEBAN,0.3693453371392197,0.9789194278361953,Crítico,Crítico,Recuperación prioritaria,4740,4710,0,0,1848355.4986328825,5004410.0,596.0,587.0,0.7149157142857143,0.7149157142857143,100.0,"596 días sin compensar | 587 días sin transacciones | consumo cupo 71% | saldo expuesto $5,004,410 | mora operativa Mayor a 60 | aparece en castigados: Confidencial",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
2026-05-11,35083,2026-04-30,BARRIO LAS DELICIAS PELAYA,CERRADO CON SALDO,CERRADO CON SALDO,RECUPERACION,CESAR,PELAYA,REDEBAN,0.2869795882137868,0.9687295525948332,Crítico,Crítico,Recuperación prioritaria,4741,4711,0,0,1847850.4078723874,6438961.11,303.0,528.0,1.717056296,1.717056296,100.0,"303 días sin compensar | 528 días sin transacciones | consumo cupo 172% | saldo expuesto $6,438,961 | mora operativa Mayor a 60 | aparece en castigados: Inactividad",Bloqueo/validación inmediata + gestión prioritaria,Enviar a recuperación/cartera prioritaria; no mezclar con alerta preventiva.
